passenger_id,name,gender,age
1,John Smith,male,35
2,Jane Doe,female,28
3,Alice Johnson,female,22
4,Bob Brown,male,40
5,Charlie Davis,male,18
6,Diana Prince,female,30
7,Ethan Hunt,male,45
8,Fiona Glenanne,female,34
9,George Clooney,male,50
10,Hannah Montana,female,16
11,Ian Somerhalder,male,32
12,Jill Valentine,female,27
13,Kevin Hart,male,36
14,Lana Del Rey,female,29
15,Mike Ross,male,25
16,Nancy Drew,female,21
17,Oscar Isaac,male,41
18,Pam Beesly,female,31
19,Quentin Tarantino,male,48
20,Rachel Green,female,26
